idx,query,gold,rag_rank,kg_rank,hybrid_rank
1,"Hoạt động bảo vệ an ninh quốc gia và bảo đảm trật tự, an toàn xã hội trên không gian mạng được điều chỉnh ra sao?",Lu_t_An_ninh_m_ng_2018_D1,3,2,1
2,Phạm vi điều chỉnh và đối tượng áp dụng đối với an ninh mạng được quy định như thế nào?,Lu_t_An_ninh_m_ng_2025_D1,-1,1,1
3,"Phạm vi hoạt động an toàn thông tin mạng, mật mã dân sự, tiêu chuẩn kỹ thuật và kinh doanh trong lĩnh vực này được điều ",Lu_t_An_to_n_th_ng_tin_m_ng_2015_D1,-1,-1,1
4,Phạm vi điều chỉnh và đối tượng áp dụng về dữ liệu cá nhân và bảo vệ dữ liệu cá nhân gồm những gì?,Lu_t_B_o_v_d_li_u_c_nh_n_2025_D1,2,1,2
5,"Nguyên tắc, chính sách bảo vệ quyền lợi người tiêu dùng và trách nhiệm của tổ chức, cá nhân kinh doanh được điều chỉnh r",Lu_t_B_o_v_quy_n_l_i_ng_i_ti_u_d_ng_2023_D1,-1,-1,2
6,"Phạm vi điều chỉnh đối với phát triển công nghiệp công nghệ số, công nghiệp bán dẫn, trí tuệ nhân tạo và tài sản số gồm ",Lu_t_C_ng_nghi_p_c_ng_ngh_s_2025_D1,-1,2,1
7,Phạm vi điều chỉnh hoạt động ứng dụng và phát triển công nghệ thông tin được quy định như thế nào?,Lu_t_C_ng_ngh_th_ng_tin_2006_D1,-1,1,1
8,"Phạm vi điều chỉnh đối với dữ liệu số, Trung tâm dữ liệu quốc gia và Cơ sở dữ liệu tổng hợp quốc gia gồm những nội dung ",Lu_t_D_li_u_2024_D1,-1,1,1
9,Phạm vi điều chỉnh đối với việc thực hiện giao dịch bằng phương tiện điện tử được quy định ra sao?,Lu_t_Giao_d_ch_i_n_t_2023_D1,-1,-1,1
10,"Phạm vi điều chỉnh đối với quyền tác giả, quyền liên quan, quyền sở hữu công nghiệp và quyền đối với giống cây trồng gồm",Lu_t_S_h_u_tr_tu_2005_D1,1,-1,1
11,Phạm vi điều chỉnh đối với hoạt động viễn thông và quản lý nhà nước về viễn thông gồm những nội dung gì?,Lu_t_Vi_n_th_ng_2023_D1,-1,3,1
12,Phạm vi điều chỉnh chi tiết về biện pháp bảo vệ an ninh mạng và lưu trữ dữ liệu được quy định ra sao?,Ngh_nh_quy_nh_chi_ti_t_Lu_t_An_ninh_m_ng_2018_D1,-1,3,1
13,"Phạm vi điều chỉnh hướng dẫn thi hành về quyền tác giả, quyền liên quan đối với phần mềm máy tính được quy định ra sao?",Ngh_nh_quy_nh_chi_ti_t_Lu_t_SHTT_v_quy_n_t_c_gi_ph_n_m_m_m_y_t_nh_D1,-1,1,-1
14,"Phạm vi điều chỉnh việc quản lý, cung cấp, sử dụng dịch vụ Internet, tài nguyên Internet và thông tin trên mạng được quy",Ngh_nh_qu_n_l_cung_c_p_s_d_ng_d_ch_v_Internet_v_th_ng_tin_tr_n_m_ng_D1,1,1,1
15,Phạm vi điều chỉnh và đối tượng áp dụng đối với bảo vệ dữ liệu cá nhân được quy định ra sao?,Ngh_nh_v_b_o_v_d_li_u_c_nh_n_D1,1,1,1
16,"Phạm vi điều chỉnh chi tiết về tiêu chí, thẩm quyền, trình tự, thủ tục xác định cấp độ an toàn hệ thống thông tin gồm nh",Ngh_nh_v_b_o_m_an_to_n_h_th_ng_th_ng_tin_theo_c_p_D1,1,1,1
17,"Phạm vi điều chỉnh về chữ ký số, chứng thư số và dịch vụ chứng thực chữ ký số gồm những nội dung gì?",Ngh_nh_v_ch_k_s_v_d_ch_v_tin_c_y_D1,-1,1,1
18,Phạm vi điều chỉnh hoạt động công nghiệp công nghệ thông tin và biện pháp bảo đảm phát triển ngành này được quy định ra ,Ngh_nh_v_c_ng_nghi_p_c_ng_ngh_th_ng_tin_D1,1,2,1
19,"Phạm vi điều chỉnh về kinh doanh, xuất nhập khẩu sản phẩm, dịch vụ mật mã dân sự được quy định ra sao?",Ngh_nh_v_ho_t_ng_m_t_m_d_n_s_v_s_a_i_N_15_2020_D1,-1,-1,-1
20,Phạm vi điều chỉnh hoạt động thanh toán không dùng tiền mặt gồm những nội dung gì?,Ngh_nh_v_thanh_to_n_kh_ng_d_ng_ti_n_m_t_D1,1,1,1
21,"Phạm vi điều chỉnh về phát triển, ứng dụng và quản lý hoạt động thương mại điện tử được quy định ra sao?",Ngh_nh_v_th_ng_m_i_i_n_t_D1,-1,2,1
